LogID,UserID,ActivityType,CaloriesBurned,DateOfActivity,DistanceTraveled,Duration
AL123,U837,Cycling,476,2024-08-06,17.98,23
AL124,U2820,Weightlifting,356,2024-04-20,11.65,66
AL125,U187,Weightlifting,96,2024-07-30,18.03,43
AL126,U2242,Running,251,2024-08-03,16.04,93
AL127,U2137,Running,607,2024-04-19,3.74,34
AL128,U2093,Cycling,605,2024-01-22,16.64,27
AL129,U1385,Weightlifting,654,2024-07-16,8.38,119
AL130,U327,Running,246,2024-07-08,8.44,50
AL131,U1886,Running,376,2024-11-24,3.72,80
AL132,U1324,Cycling,267,2024-07-23,10.23,72
AL133,U1893,Cycling,781,2024-11-14,15.74,40
AL134,U1481,Running,744,2024-01-24,7.56,12
AL135,U2593,Running,590,2024-06-15,13.59,108
AL136,U576,Weightlifting,632,2024-05-26,0.65,15
AL137,U73,Cycling,473,2024-04-25,17.38,14
AL138,U1500,Cycling,118,2024-10-15,16.74,90
AL139,U1244,Cycling,800,2024-08-28,6.21,53
AL140,U2514,Running,137,2024-04-08,18.28,99
AL141,U438,Weightlifting,565,2024-01-27,11.45,116
AL142,U398,Weightlifting,312,2024-09-05,13.16,111
AL143,U2007,Weightlifting,681,2024-05-06,6.13,31
AL144,U60,Cycling,334,2024-10-28,14.81,49
AL145,U2427,Weightlifting,515,2024-01-23,2.72,63
AL146,U1477,Weightlifting,507,2024-05-24,17.03,119
AL147,U1142,Running,732,2024-05-07,5.9,68
AL148,U2818,Running,232,2024-01-05,14.52,80
AL149,U1970,Running,769,2024-01-07,7.41,44
AL150,U1502,Running,724,2024-06-22,18.93,103
AL151,U1978,Weightlifting,709,2024-02-05,9.23,102
AL152,U481,Weightlifting,387,2024-06-21,16,14
AL153,U2261,Cycling,92,2024-01-09,13.36,56
AL154,U1292,Running,432,2024-06-02,5.82,109
AL155,U1132,Running,490,2024-06-22,1.03,95
AL156,U2432,Cycling,157,2024-02-28,13.29,120
AL157,U2700,Running,536,2024-05-28,11.18,87
AL158,U2169,Cycling,171,2024-08-20,13.62,45
AL159,U35,Cycling,782,2024-06-23,6.12,46
AL160,U1561,Running,414,2024-05-06,17.81,43
AL161,U122,Cycling,276,2024-07-20,15.31,46
AL162,U521,Running,714,2024-06-01,19.87,91
AL163,U2824,Running,225,2024-05-30,0.86,48
AL164,U203,Cycling,428,2024-03-09,19.4,82
AL165,U2174,Running,232,2024-01-05,4.06,33
AL166,U513,Cycling,611,2024-07-26,5.59,56
AL167,U2360,Cycling,312,2024-06-20,11.03,78
AL168,U74,Cycling,104,2024-11-11,7.93,36
AL169,U96,Running,99,2024-09-27,13.47,90
AL170,U1861,Cycling,264,2024-10-16,4.99,27
AL171,U1974,Running,355,2024-11-18,14.02,97
AL172,U1276,Running,582,2024-09-24,16.66,68
AL173,U997,Cycling,785,2024-01-06,8.19,110
AL174,U1412,Weightlifting,416,2024-03-14,7.04,75
AL175,U420,Weightlifting,367,2024-11-23,14.38,67
AL176,U2337,Cycling,612,2024-05-10,19.44,47
AL177,U2762,Running,248,2024-04-05,19.18,20
AL178,U2552,Running,627,2024-10-05,10.19,61
AL179,U1702,Cycling,435,2024-07-26,4.02,65
AL180,U887,Running,391,2024-10-15,11.01,44
AL181,U794,Running,253,2024-05-06,16.93,90
AL182,U658,Running,776,2024-07-13,19.06,111
AL183,U467,Weightlifting,348,2024-09-11,3.03,60
AL184,U1600,Cycling,483,2024-08-23,10.9,96
AL185,U232,Weightlifting,797,2024-10-15,15.7,95
AL186,U2350,Running,327,2024-06-03,16.73,13
AL187,U596,Running,472,2024-07-09,19.47,34
AL188,U547,Cycling,622,2024-02-15,10.97,36
AL189,U244,Running,670,2024-07-09,4.69,85
AL190,U1950,Cycling,692,2024-01-01,17.33,104
AL191,U1175,Running,761,2024-02-02,18.11,97
AL192,U2425,Cycling,267,2024-04-17,19.6,98
AL193,U1978,Cycling,796,2024-03-19,19.38,44
AL194,U1243,Weightlifting,327,2024-06-20,1.99,21
AL195,U2305,Weightlifting,243,2024-03-18,14.45,99
AL196,U928,Weightlifting,623,2024-04-03,13.99,109
AL197,U2277,Weightlifting,176,2024-07-19,16.08,28
AL198,U275,Cycling,556,2024-11-23,15.64,81
AL199,U2380,Running,255,2024-11-02,18.3,52
AL200,U2970,Running,436,2024-05-27,5.82,104
AL201,U2459,Cycling,214,2024-03-17,4.31,51
AL202,U498,Weightlifting,235,2024-09-02,4.95,99
AL203,U2899,Cycling,321,2024-10-23,1.32,85
AL204,U754,Weightlifting,587,2024-09-26,12.85,98
AL205,U636,Cycling,297,2024-07-01,13.93,61
AL206,U1321,Weightlifting,369,2024-10-31,17.16,76
AL207,U1928,Cycling,335,2024-10-03,9.35,16
AL208,U1568,Cycling,559,2024-07-17,16.41,111
AL209,U1510,Weightlifting,537,2024-10-08,9.91,99
AL210,U1681,Running,750,2024-05-08,16.98,45
AL211,U2164,Running,288,2024-11-07,16.91,54
AL212,U149,Cycling,310,2024-05-21,16.97,70
AL213,U2982,Cycling,200,2024-02-29,8.89,107
AL214,U2423,Cycling,748,2024-07-28,13.92,24
AL215,U713,Cycling,439,2024-10-20,5.3,43
AL216,U2836,Weightlifting,443,2024-10-24,19,75
AL217,U1698,Weightlifting,210,2024-11-22,16.78,19
AL218,U1013,Cycling,526,2024-02-24,16.59,69
AL219,U2828,Cycling,360,2024-04-24,11.49,77
AL220,U997,Weightlifting,723,2024-07-18,6.7,77
AL221,U1970,Running,528,2024-02-29,19.72,41
AL222,U2770,Running,241,2024-04-29,5.4,29
AL223,U511,Running,413,2024-09-16,9.16,113
AL224,U1465,Running,314,2024-06-08,3.24,86
AL225,U2529,Weightlifting,551,2024-04-17,19.9,97
AL226,U233,Running,582,2024-06-08,2.44,118
AL227,U610,Running,515,2024-05-21,13.67,86
AL228,U294,Running,428,2024-09-16,7.92,23
AL229,U1445,Weightlifting,775,2024-01-07,4.67,68
AL230,U1114,Weightlifting,591,2024-01-13,8.51,96
AL231,U1489,Weightlifting,331,2024-11-18,5.42,83
AL232,U1099,Cycling,409,2024-02-03,14.35,109
AL233,U1223,Running,117,2024-02-22,7.06,82
AL234,U1043,Weightlifting,392,2024-09-27,9.77,68
AL235,U2957,Cycling,782,2024-10-07,5.33,103
AL236,U1773,Weightlifting,491,2024-04-16,15.31,32
AL237,U1068,Cycling,529,2024-05-14,18.16,97
AL238,U2655,Weightlifting,139,2024-04-30,8.35,15
AL239,U2154,Weightlifting,514,2024-03-25,20,99
AL240,U2726,Cycling,346,2024-10-11,14.7,60
AL241,U2037,Running,133,2024-03-30,5.2,34
AL242,U1235,Cycling,717,2024-10-03,8.75,91
AL243,U2966,Cycling,688,2024-11-06,5.47,25
AL244,U1143,Running,404,2024-08-25,19,68
AL245,U260,Running,649,2024-06-08,17.73,30
AL246,U1767,Weightlifting,595,2024-05-28,3.64,15
AL247,U2962,Cycling,448,2024-11-22,8.73,45
AL248,U207,Weightlifting,184,2024-01-29,15.36,62
AL249,U2107,Running,711,2024-03-06,17.71,107
AL250,U174,Running,184,2024-01-25,12.24,32
AL251,U583,Weightlifting,587,2024-01-23,6.93,26
AL252,U367,Cycling,252,2024-09-17,4.29,99
AL253,U1422,Cycling,662,2024-04-22,19.14,35
AL254,U2649,Cycling,688,2024-04-05,7.35,54
AL255,U2759,Running,704,2024-06-28,18.88,95
AL256,U1245,Running,160,2024-10-02,4.99,36
AL257,U553,Cycling,611,2024-06-21,19.47,72
AL258,U962,Running,328,2024-05-02,5.37,96
AL259,U1861,Weightlifting,75,2024-04-01,1.1,104
AL260,U2486,Cycling,197,2024-11-24,10.39,66
AL261,U1511,Weightlifting,665,2024-04-19,14.15,39
AL262,U662,Running,728,2024-10-13,8.17,14
AL263,U1208,Weightlifting,695,2024-10-20,15.76,77
AL264,U2653,Weightlifting,462,2024-08-10,7.04,63
AL265,U2367,Running,63,2024-09-22,19.55,79
AL266,U728,Cycling,245,2024-03-14,12.56,118
AL267,U154,Cycling,173,2024-11-25,10.46,38
AL268,U2992,Weightlifting,118,2024-03-09,17.95,64
AL269,U1086,Cycling,106,2024-08-01,17.95,61
AL270,U2642,Running,322,2024-10-07,15.96,29
AL271,U1288,Cycling,616,2024-10-11,8.81,46
AL272,U2626,Weightlifting,413,2024-07-30,1.38,72
AL273,U2129,Cycling,243,2024-07-23,10.94,72
AL274,U1443,Cycling,162,2024-02-17,5.36,81
AL275,U24,Weightlifting,679,2024-01-05,3.66,79
AL276,U513,Weightlifting,89,2024-11-02,1.32,45
AL277,U2442,Running,624,2024-02-23,16.2,56
AL278,U1543,Weightlifting,692,2024-11-25,11.56,118
AL279,U1315,Cycling,357,2024-08-12,16.8,67
AL280,U1130,Cycling,589,2024-08-29,13.4,104
AL281,U2293,Weightlifting,159,2024-01-26,14.85,15
AL282,U2404,Running,768,2024-07-31,18.92,114
AL283,U2099,Cycling,633,2024-02-29,10.09,98
AL284,U1556,Weightlifting,180,2024-01-20,11.47,36
AL285,U506,Cycling,484,2024-07-03,6.06,52
AL286,U2986,Cycling,509,2024-10-31,2.17,30
AL287,U2306,Running,371,2024-01-12,14.91,52
AL288,U2802,Running,118,2024-08-06,1.86,82
AL289,U1432,Running,402,2024-11-19,15.18,64
AL290,U2454,Weightlifting,123,2024-05-12,17.86,27
AL291,U2807,Running,162,2024-04-05,7.34,22
AL292,U1698,Weightlifting,460,2024-02-29,13.55,86
AL293,U2337,Running,593,2024-03-01,17.26,54
AL294,U215,Weightlifting,402,2024-03-01,7.22,26
AL295,U71,Running,285,2024-06-09,3.54,63
AL296,U1336,Weightlifting,746,2024-05-12,3.91,27
AL297,U172,Running,409,2024-05-27,9.61,13
AL298,U2332,Cycling,98,2024-04-12,14.64,98
AL299,U587,Cycling,764,2024-07-12,11.79,10
AL300,U1827,Weightlifting,434,2024-04-10,12.61,97
AL301,U845,Cycling,528,2024-07-03,3.34,116
AL302,U1498,Running,389,2024-06-11,19.92,54
AL303,U574,Running,688,2024-05-08,14.96,34
AL304,U2320,Cycling,215,2024-05-28,3.93,90
AL305,U1603,Cycling,458,2024-07-28,5.89,62
AL306,U2536,Running,219,2024-07-31,4.29,42
AL307,U1944,Cycling,208,2024-02-22,1.12,63
AL308,U1945,Cycling,650,2024-03-01,3.79,106
AL309,U1082,Running,520,2024-04-18,16.24,55
AL310,U229,Running,304,2024-04-16,8.18,55
AL311,U732,Cycling,187,2024-11-05,9.49,58
AL312,U1751,Cycling,428,2024-03-25,3.32,29
AL313,U880,Weightlifting,325,2024-11-23,1.98,55
AL314,U1745,Running,465,2024-01-19,12.62,120
AL315,U2312,Running,277,2024-08-17,5.38,49
AL316,U1665,Cycling,229,2024-08-01,19.47,71
AL317,U2357,Cycling,376,2024-08-02,9.11,82
AL318,U2732,Cycling,208,2024-03-22,14.43,29
AL319,U1779,Running,445,2024-07-14,7.63,58
AL320,U1151,Weightlifting,739,2024-09-06,13.85,25
AL321,U1769,Weightlifting,659,2024-04-11,11.26,87
AL322,U2522,Cycling,790,2024-09-26,17.87,111
AL323,U881,Cycling,718,2024-03-11,10.56,29
AL324,U523,Cycling,737,2024-09-08,19.18,120
AL325,U2771,Cycling,426,2024-05-03,2.43,19
AL326,U2682,Cycling,289,2024-04-10,1.4,18
AL327,U1626,Weightlifting,126,2024-01-20,14.14,37
AL328,U2110,Weightlifting,237,2024-08-19,2.49,87
AL329,U2884,Cycling,231,2024-09-22,17.89,88
AL330,U928,Cycling,673,2024-11-01,12.38,26
AL331,U2415,Cycling,344,2024-07-19,14.43,68
AL332,U2003,Weightlifting,627,2024-06-03,17.99,111
AL333,U2612,Cycling,405,2024-04-26,15.38,45
AL334,U679,Cycling,397,2024-09-26,2.91,112
AL335,U2161,Running,269,2024-02-27,6.23,22
AL336,U834,Cycling,101,2024-03-30,18.84,24
AL337,U43,Cycling,182,2024-11-09,12.11,64
AL338,U2648,Weightlifting,87,2024-05-31,10.06,81
AL339,U1271,Weightlifting,193,2024-01-31,7.39,13
AL340,U776,Cycling,287,2024-02-26,13.39,86
AL341,U1539,Running,370,2024-01-10,11.91,59
AL342,U1786,Weightlifting,69,2024-09-25,17.26,33
AL343,U1603,Cycling,509,2024-03-20,8.25,63
AL344,U2276,Weightlifting,380,2024-07-24,17.61,104
AL345,U2981,Weightlifting,595,2024-08-18,15.47,27
AL346,U647,Weightlifting,127,2024-09-08,2.83,12
AL347,U2355,Running,521,2024-08-17,8.78,66
AL348,U2994,Running,566,2024-04-27,7.14,90
AL349,U1821,Weightlifting,785,2024-10-14,12.82,80
AL350,U118,Running,195,2024-04-01,17.98,65
AL351,U1586,Weightlifting,753,2024-01-15,15.65,72
AL352,U553,Weightlifting,613,2024-03-29,17.6,36
AL353,U2835,Weightlifting,303,2024-10-17,0.5,105
AL354,U1867,Cycling,783,2024-06-09,4.83,38
AL355,U778,Weightlifting,707,2024-11-15,4.35,24
AL356,U761,Weightlifting,231,2024-01-23,2.69,28
AL357,U2211,Cycling,297,2024-03-25,12.74,40
AL358,U1976,Cycling,65,2024-09-04,16.58,14
AL359,U1051,Cycling,128,2024-07-14,2.69,66
AL360,U1386,Weightlifting,436,2024-01-28,1.65,45
AL361,U2728,Weightlifting,268,2024-11-04,1.48,88
AL362,U1509,Weightlifting,293,2024-05-27,15.29,10
AL363,U2975,Running,492,2024-07-20,9.45,30
AL364,U2214,Cycling,674,2024-04-17,10.09,23
AL365,U1051,Running,166,2024-01-10,13.72,62
AL366,U1333,Cycling,51,2024-05-08,17.19,27
AL367,U1835,Weightlifting,492,2024-09-24,11.65,119
AL368,U612,Weightlifting,564,2024-01-07,5.13,65
AL369,U1633,Running,328,2024-09-17,12.83,29
AL370,U1661,Cycling,115,2024-04-20,14.18,59
AL371,U2096,Weightlifting,411,2024-07-23,9.79,13
AL372,U2704,Cycling,759,2024-11-07,2.88,66
AL373,U1500,Weightlifting,210,2024-07-04,8.57,33
AL374,U2182,Weightlifting,679,2024-05-18,17.49,108
AL375,U1028,Cycling,148,2024-09-19,10.72,117
AL376,U2455,Running,793,2024-08-03,6.55,54
AL377,U58,Running,730,2024-03-27,6.13,65
AL378,U987,Running,696,2024-07-19,11.22,100
AL379,U559,Running,625,2024-01-04,16.29,70
AL380,U2360,Cycling,394,2024-08-27,13.14,96
AL381,U2701,Cycling,155,2024-11-03,3.77,70
AL382,U910,Weightlifting,150,2024-08-11,1.9,82
AL383,U1878,Running,252,2024-05-25,6.43,28
AL384,U1479,Weightlifting,414,2024-11-09,4.01,22
AL385,U77,Cycling,602,2024-04-02,15.19,42
AL386,U2086,Running,207,2024-02-29,15.75,53
AL387,U2352,Cycling,81,2024-03-03,3.77,115
AL388,U1715,Weightlifting,675,2024-10-16,6.86,32
AL389,U2117,Cycling,398,2024-03-28,6.85,54
AL390,U643,Running,250,2024-09-17,9.33,13
AL391,U2582,Cycling,320,2024-03-18,7.19,17
AL392,U1639,Weightlifting,327,2024-01-12,4.98,85
AL393,U631,Running,111,2024-04-27,11.29,68
AL394,U19,Running,71,2024-11-05,15.27,54
AL395,U1034,Weightlifting,130,2024-07-15,9.81,72
AL396,U2794,Cycling,560,2024-07-22,17.15,81
AL397,U1980,Running,438,2024-08-19,19.91,53
AL398,U2369,Weightlifting,715,2024-11-22,10.84,80
AL399,U595,Weightlifting,433,2024-10-24,6.59,48
AL400,U2420,Weightlifting,215,2024-01-03,17.48,53
AL401,U1692,Running,360,2024-06-14,10.55,116
AL402,U361,Running,207,2024-02-22,16.46,14
AL403,U1613,Running,629,2024-09-16,1.34,44
AL404,U2562,Running,703,2024-06-02,2.09,25
AL405,U1290,Cycling,564,2024-04-08,5.4,103
AL406,U220,Running,621,2024-10-31,12.21,45
AL407,U2898,Running,216,2024-07-21,13.74,44
AL408,U2513,Running,364,2024-04-02,12.58,59
AL409,U2355,Weightlifting,405,2024-08-17,1.8,41
AL410,U1415,Weightlifting,559,2024-03-20,3.39,79
AL411,U2966,Cycling,578,2024-04-25,17.41,78
AL412,U1933,Cycling,672,2024-03-13,9.24,66
AL413,U838,Weightlifting,163,2024-08-09,15.94,94
AL414,U2621,Weightlifting,61,2024-04-09,13,83
AL415,U601,Cycling,657,2024-07-06,7.94,24
AL416,U1493,Running,648,2024-05-07,4.08,52
AL417,U711,Weightlifting,310,2024-07-28,1.46,82
AL418,U539,Cycling,763,2024-11-25,11.82,104
AL419,U256,Running,229,2024-06-14,16.33,46
AL420,U411,Weightlifting,406,2024-03-25,14.88,79
AL421,U1945,Weightlifting,397,2024-09-02,5.7,53
AL422,U2117,Weightlifting,267,2024-01-01,17.51,101
AL423,U561,Weightlifting,561,2024-06-10,16.19,113
AL424,U787,Cycling,194,2024-07-10,7.83,102
AL425,U1357,Weightlifting,256,2024-06-30,11.93,17
AL426,U1570,Running,551,2024-02-21,17.82,67
AL427,U934,Running,727,2024-11-16,13.99,33
AL428,U1932,Running,443,2024-05-21,18.42,73
AL429,U2726,Cycling,362,2024-10-24,3.48,55
AL430,U2102,Cycling,205,2024-10-10,16.34,118
AL431,U580,Running,143,2024-04-19,3.14,57
AL432,U2885,Weightlifting,79,2024-08-09,15.12,43
AL433,U2353,Cycling,68,2024-05-23,15.52,94
AL434,U2654,Cycling,429,2024-01-21,3.46,75
AL435,U547,Running,722,2024-05-19,14.35,84
AL436,U1267,Weightlifting,786,2024-08-07,18.62,101
AL437,U104,Cycling,345,2024-10-09,14.38,87
AL438,U757,Weightlifting,653,2024-07-21,13.67,84
AL439,U2949,Running,105,2024-08-26,7.33,66
AL440,U1597,Cycling,279,2024-10-06,17.82,13
AL441,U121,Cycling,284,2024-07-12,9.83,78
AL442,U2882,Running,661,2024-01-04,3.98,40
AL443,U1221,Cycling,392,2024-05-01,7.3,80
AL444,U2092,Cycling,167,2024-02-13,12.24,14
AL445,U2940,Cycling,430,2024-10-03,12.3,103
AL446,U209,Running,659,2024-07-12,6.34,109
AL447,U2207,Weightlifting,592,2024-07-19,2.94,39
AL448,U2076,Cycling,203,2024-11-18,7.96,64
AL449,U325,Weightlifting,776,2024-05-11,16.1,24
AL450,U1334,Running,538,2024-05-04,10.33,95
AL451,U2110,Cycling,371,2024-01-24,12.62,95
AL452,U153,Running,135,2024-06-30,8.18,78
AL453,U1853,Cycling,705,2024-10-27,6.84,61
AL454,U835,Cycling,475,2024-07-07,18.63,75
AL455,U1788,Weightlifting,643,2024-08-11,6.37,40
AL456,U2587,Running,461,2024-08-07,9.12,74
AL457,U282,Weightlifting,619,2024-05-05,8.52,61
AL458,U629,Weightlifting,232,2024-09-30,1.18,77
AL459,U1941,Cycling,738,2024-04-10,15.74,40
AL460,U640,Weightlifting,195,2024-10-14,16.71,60
AL461,U2619,Running,497,2024-09-25,5.65,102
AL462,U197,Weightlifting,122,2024-06-05,1.22,72
AL463,U801,Cycling,504,2024-11-03,13.68,103
AL464,U882,Weightlifting,727,2024-06-26,14.41,90
AL465,U2650,Cycling,219,2024-10-02,12.24,118
AL466,U1580,Running,207,2024-03-14,1.96,113
AL467,U1125,Running,471,2024-06-09,9.98,81
AL468,U3000,Weightlifting,401,2024-05-13,18.27,77
AL469,U883,Weightlifting,647,2024-06-15,9.52,55
AL470,U1591,Weightlifting,324,2024-03-19,16.15,57
AL471,U1048,Weightlifting,209,2024-05-27,6.73,53
AL472,U2843,Weightlifting,222,2024-08-17,7.74,117
AL473,U1489,Running,614,2024-02-08,18.78,98
AL474,U183,Cycling,409,2024-08-01,16.36,75
AL475,U1357,Running,313,2024-08-22,17.79,37
AL476,U1644,Running,210,2024-02-27,12.59,104
AL477,U256,Running,783,2024-08-18,6,50
AL478,U2751,Cycling,513,2024-10-29,16.16,89
AL479,U2396,Weightlifting,651,2024-04-01,19.76,44
AL480,U2379,Weightlifting,573,2024-03-25,2.03,72
AL481,U1730,Cycling,199,2024-01-10,7.1,56
AL482,U1204,Weightlifting,115,2024-04-13,19,89
AL483,U1742,Cycling,154,2024-05-14,0.75,66
AL484,U2213,Running,725,2024-11-21,6.44,58
AL485,U1659,Cycling,616,2024-06-28,4.91,28
AL486,U1408,Weightlifting,426,2024-11-17,5.79,18
AL487,U348,Running,452,2024-09-30,13.73,41
AL488,U364,Cycling,166,2024-08-07,19.57,93
AL489,U1756,Running,438,2024-07-20,8.14,39
AL490,U430,Cycling,294,2024-05-29,13.02,58
AL491,U2515,Weightlifting,206,2024-09-21,7.58,20
AL492,U613,Cycling,351,2024-09-29,14.09,101
AL493,U1088,Cycling,664,2024-09-18,1.58,75
AL494,U2746,Cycling,401,2024-09-07,1.32,22
AL495,U708,Weightlifting,373,2024-06-17,15.89,79
AL496,U807,Cycling,96,2024-10-29,11.89,120
AL497,U2149,Cycling,198,2024-03-28,8.19,108
AL498,U2388,Weightlifting,563,2024-04-15,10.1,17
AL499,U2329,Weightlifting,649,2024-10-12,10.23,105
AL500,U393,Cycling,543,2024-11-22,2.88,73
AL501,U1217,Cycling,470,2024-02-17,5.36,43
AL502,U420,Weightlifting,59,2024-03-13,5.6,114
