TrainerID,PersonID,Specialization,TrainerRating
T246,P1942,Tourist information centre manager,3.4
T247,P293,Theatre director,4.7
T248,P1134,Animal nutritionist,4.8
T249,P721,Rural practice surveyor,3.2
T250,P760,"Nurse, mental health",4.4
T251,P2457,Occupational hygienist,4.6
T252,P263,"Conservation officer, historic buildings",3.8
T253,P994,Data scientist,3.9
T254,P1546,Arts administrator,4.4
T255,P2260,Visual merchandiser,3.3
T256,P2655,Clinical biochemist,4.5
T257,P1719,"Psychologist, sport and exercise",3.4
T258,P2262,Consulting civil engineer,3.9
T259,P1666,Retail banker,3.6
T260,P1736,Field seismologist,3.8
T261,P871,Estate manager/land agent,3.3
T262,P2534,Accommodation manager,4.3
T263,P1055,Logistics and distribution manager,3.7
T264,P2913,Building services engineer,4.2
T265,P650,Consulting civil engineer,4.5
T266,P508,Waste management officer,3.3
T267,P1013,"Designer, interior/spatial",4.7
T268,P1064,Personnel officer,4.4
T269,P1410,Information officer,4.0
T270,P1836,IT technical support officer,4.6
T271,P757,Financial trader,3.7
T272,P2740,Aeronautical engineer,4.4
T273,P1636,"Teacher, primary school",4.9
T274,P2732,Audiological scientist,3.4
T275,P590,Orthoptist,3.3
T276,P880,"Research officer, trade union",3.4
T277,P1332,Therapeutic radiographer,3.4
T278,P2041,IT sales professional,4.8
T279,P960,"Engineer, manufacturing",3.1
T280,P2989,Database administrator,4.1
T281,P457,Planning and development surveyor,4.8
T282,P347,Race relations officer,3.5
T283,P1122,Senior tax professional/tax inspector,3.9
T284,P1899,"Embryologist, clinical",5.0
T285,P1721,Video editor,3.4
T286,P2075,Actuary,3.4
T287,P1882,Geographical information systems officer,3.7
T288,P1447,Geographical information systems officer,5.0
T289,P1475,Network engineer,3.3
T290,P652,Risk analyst,4.6
T291,P859,Administrator,4.3
T292,P2521,"Nurse, learning disability",3.1
T293,P1996,Animator,4.3
T294,P221,Technical brewer,3.5
T295,P1944,Retail buyer,4.5
T296,P1228,Biomedical scientist,3.9
T297,P2126,Horticultural consultant,5.0
T298,P2040,"Geologist, engineering",3.9
T299,P426,"Engineer, automotive",3.5
T300,P1264,"Engineer, aeronautical",3.8
T301,P1486,Research scientist (medical),4.5
T302,P1895,"Psychologist, prison and probation services",4.1
T303,P1922,"Copywriter, advertising",3.7
T304,P1529,"Development worker, community",3.6
T305,P659,"Lecturer, higher education",4.5
T306,P1241,English as a foreign language teacher,3.8
T307,P226,"Surveyor, rural practice",4.2
T308,P1878,Software engineer,3.1
T309,P937,Hydrogeologist,3.2
T310,P423,"Conservator, furniture",4.6
T311,P1312,Therapeutic radiographer,4.5
T312,P2802,Immunologist,4.5
T313,P1090,Computer games developer,4.7
T314,P1379,"Sales professional, IT",4.2
T315,P2643,Quantity surveyor,3.1
T316,P1820,Database administrator,3.3
T317,P702,Site engineer,4.9
T318,P1438,Multimedia specialist,3.5
T319,P1035,Biomedical engineer,4.2
T320,P481,"Scientist, biomedical",4.3
T321,P794,Stage manager,3.7
T322,P1883,Video editor,4.0
T323,P2038,"Administrator, local government",4.9
T324,P1705,"Teacher, primary school",3.3
T325,P2228,Clinical psychologist,4.8
T326,P1645,"Scientist, research (physical sciences)",4.6
T327,P786,"Education officer, environmental",3.6
T328,P2721,Leisure centre manager,4.0
T329,P1758,Fast food restaurant manager,5.0
T330,P349,Toxicologist,3.9
T331,P1104,Patent examiner,3.4
T332,P1985,Structural engineer,3.6
T333,P2697,Economist,3.2
T334,P1718,Oncologist,3.0
T335,P1987,Best boy,4.2
T336,P1155,Gaffer,3.3
T337,P1072,Government social research officer,3.3
T338,P1252,Amenity horticulturist,4.7
T339,P1454,Marine scientist,3.3
T340,P1175,"Investment banker, operational",3.4
T341,P1340,Agricultural engineer,4.4
T342,P1858,Curator,3.7
T343,P2390,"Education officer, museum",3.2
T344,P2361,Video editor,3.5
T345,P967,"Civil engineer, contracting",3.4
T346,P1152,Administrator,3.3
T347,P810,"Horticulturist, commercial",3.4
T348,P2567,"Teacher, adult education",4.4
T349,P630,Public relations officer,3.9
T350,P2644,"Engineer, petroleum",3.2
T351,P1001,Legal secretary,4.0
T352,P2028,"Designer, jewellery",4.9
T353,P2762,Podiatrist,4.6
T354,P878,"Accountant, chartered certified",4.2
T355,P2308,Clinical biochemist,3.9
T356,P1011,Training and development officer,3.2
T357,P1805,Housing manager/officer,3.3
T358,P1831,"Biochemist, clinical",3.3
T359,P772,Diagnostic radiographer,4.6
T360,P2283,Broadcast engineer,4.7
T361,P2661,Forest/woodland manager,3.8
T362,P2479,Osteopath,3.7
T363,P1374,Armed forces logistics/support/administrative officer,4.7
T364,P620,Higher education lecturer,3.7
T365,P1497,Production manager,4.9
T366,P2223,Video editor,3.8
T367,P930,Physiological scientist,4.2
T368,P2842,Arts administrator,3.2
T369,P2861,Energy engineer,3.6
T370,P1581,"Designer, industrial/product",4.2
T371,P2378,Neurosurgeon,4.4
T372,P929,Clinical cytogeneticist,3.1
T373,P1455,Careers adviser,3.5
T374,P1020,Passenger transport manager,3.4
T375,P363,Wellsite geologist,3.4
T376,P660,Commercial/residential surveyor,3.1
T377,P1473,Dealer,4.6
T378,P1383,Customer service manager,3.2
T379,P2754,Freight forwarder,3.1
T380,P2690,English as a foreign language teacher,3.4
T381,P2586,"Optician, dispensing",4.6
T382,P1588,Retail buyer,4.3
T383,P1959,Product designer,3.7
T384,P2623,Youth worker,5.0
T385,P2890,"Restaurant manager, fast food",4.6
T386,P2295,Research scientist (physical sciences),3.3
T387,P258,Forensic scientist,3.5
T388,P42,Health and safety inspector,3.2
T389,P656,"Engineer, materials",4.4
T390,P477,Nature conservation officer,4.8
T391,P1982,Financial manager,4.0
T392,P176,Higher education lecturer,4.8
T393,P2462,Publishing copy,4.0
T394,P2885,Teaching laboratory technician,3.9
T395,P2557,Colour technologist,4.7
T396,P2239,Financial planner,5.0
T397,P2006,Manufacturing systems engineer,3.5
T398,P2889,Systems analyst,3.1
T399,P2899,Commissioning editor,3.3
T400,P2779,Museum education officer,4.8
T401,P2240,Planning and development surveyor,3.8
T402,P2718,Race relations officer,4.2
T403,P2752,Jewellery designer,4.1
T404,P491,"Psychologist, prison and probation services",4.8
T405,P2460,Hotel manager,4.4
T406,P1085,Holiday representative,4.3
T407,P1591,Higher education lecturer,3.3
T408,P1192,Television floor manager,4.6
T409,P842,Careers information officer,3.4
T410,P1324,Warden/ranger,3.8
T411,P2622,"Runner, broadcasting/film/video",3.9
T412,P182,Claims inspector/assessor,3.4
T413,P1493,Tree surgeon,4.0
T414,P1522,"Designer, multimedia",4.9
T415,P1595,"Therapist, drama",3.5
T416,P1741,"Pilot, airline",4.5
T417,P2540,Bonds trader,4.3
T418,P2218,Armed forces training and education officer,3.5
T419,P1954,"Surveyor, quantity",3.6
T420,P2944,Art therapist,3.8
T421,P1405,Audiological scientist,3.2
T422,P2894,Equities trader,4.1
T423,P712,Government social research officer,4.4
T424,P470,"Engineer, electronics",4.1
T425,P70,Furniture conservator/restorer,3.5
T426,P647,Financial trader,3.0
T427,P215,"Research officer, government",5.0
T428,P51,"Administrator, arts",4.5
T429,P634,"Buyer, retail",4.0
T430,P48,Occupational therapist,4.5
T431,P1184,Animal nutritionist,4.9
T432,P1604,Academic librarian,3.7
T433,P1735,Musician,4.2
T434,P1176,Illustrator,3.0
T435,P2454,"Therapist, nutritional",4.5
T436,P200,Systems analyst,3.8
T437,P2554,Careers information officer,4.0
T438,P1372,Information systems manager,4.6
T439,P695,Child psychotherapist,3.9
T440,P460,Company secretary,3.5
T441,P1141,Drilling engineer,4.7
T442,P1806,Brewing technologist,3.4
T443,P885,Textile designer,3.9
T444,P142,Health promotion specialist,3.4
T445,P1054,Broadcast presenter,3.5
T446,P1915,Leisure centre manager,3.1
T447,P872,Water quality scientist,3.9
T448,P1309,Manufacturing systems engineer,3.1
T449,P2775,Environmental manager,4.3
T450,P228,"Education officer, community",3.6
T451,P2383,"Geneticist, molecular",3.9
T452,P737,Child psychotherapist,4.7
T453,P2124,Chiropractor,4.2
T454,P1234,Environmental health practitioner,3.2
T455,P319,"Engineer, maintenance (IT)",3.2
T456,P2058,Farm manager,4.0
T457,P1051,"Engineer, site",3.0
T458,P2512,Insurance account manager,4.2
T459,P404,Logistics and distribution manager,3.5
T460,P783,Careers information officer,4.8
T461,P2095,Social researcher,3.9
T462,P1061,English as a second language teacher,3.5
T463,P1849,"Radiographer, therapeutic",4.8
T464,P1424,Tax inspector,3.6
T465,P2857,Dentist,4.7
T466,P2349,Counsellor,4.1
T467,P2396,Teaching laboratory technician,3.0
T468,P2825,Futures trader,4.7
T469,P907,Forensic scientist,4.9
T470,P2393,Materials engineer,3.3
T471,P2066,"Psychologist, occupational",3.7
T472,P1862,Patent attorney,4.6
T473,P1501,"Designer, fashion/clothing",4.5
T474,P826,"Designer, graphic",5.0
T475,P376,Ambulance person,4.9
T476,P1102,Leisure centre manager,3.1
T477,P1956,Catering manager,5.0
T478,P2983,Financial trader,3.4
T479,P320,Waste management officer,3.1
T480,P1092,Exhibition designer,4.9
T481,P1746,Holiday representative,3.6
T482,P2140,Lawyer,3.9
T483,P198,Paramedic,3.9
T484,P2589,Theatre manager,5.0
T485,P1557,"Editor, commissioning",3.9
T486,P2588,Freight forwarder,3.3
T487,P2256,Financial planner,3.2
T488,P940,"Buyer, industrial",4.6
T489,P406,"Engineer, agricultural",5.0
T490,P47,Teaching laboratory technician,3.2
T491,P2665,Meteorologist,4.2
T492,P784,Telecommunications researcher,4.4
T493,P1126,Chief Executive Officer,3.6
T494,P2548,"Embryologist, clinical",3.7
T495,P1599,"Librarian, academic",3.2
T496,P196,"Engineer, automotive",4.1
T497,P8,Visual merchandiser,3.4
T498,P2346,"Therapist, occupational",4.8
T499,P2591,Engineering geologist,4.2
T500,P434,Clinical psychologist,3.2
