LogID,UserID,MealName,CalorieCount,Macronutrients,MealCategory,DateLogged
NL34,U330,fight,330,"Carbs: 47, Proteins: 45, Fats: 15",Breakfast,2024-10-03
NL35,U2186,hear,1067,"Carbs: 17, Proteins: 40, Fats: 25",Dinner,2024-06-22
NL36,U1171,address,283,"Carbs: 80, Proteins: 19, Fats: 14",Dinner,2024-03-25
NL37,U1085,expect,697,"Carbs: 52, Proteins: 20, Fats: 13",Breakfast,2024-06-02
NL38,U534,itself,503,"Carbs: 89, Proteins: 36, Fats: 23",Snack,2024-10-16
NL39,U1779,city,1110,"Carbs: 83, Proteins: 43, Fats: 28",Lunch,2024-11-12
NL40,U2855,need,1437,"Carbs: 23, Proteins: 39, Fats: 6",Breakfast,2024-01-12
NL41,U2040,bad,1165,"Carbs: 77, Proteins: 10, Fats: 21",Breakfast,2024-10-25
NL42,U176,house,396,"Carbs: 34, Proteins: 20, Fats: 17",Breakfast,2024-02-08
NL43,U1476,long,498,"Carbs: 86, Proteins: 11, Fats: 18",Breakfast,2024-10-09
NL44,U1487,activity,557,"Carbs: 25, Proteins: 23, Fats: 11",Snack,2024-06-22
NL45,U2200,marriage,838,"Carbs: 14, Proteins: 19, Fats: 29",Lunch,2024-07-26
NL46,U1253,term,299,"Carbs: 48, Proteins: 43, Fats: 25",Lunch,2024-08-14
NL47,U2937,this,653,"Carbs: 81, Proteins: 45, Fats: 7",Dinner,2024-01-19
NL48,U2009,mind,1151,"Carbs: 51, Proteins: 49, Fats: 29",Snack,2024-04-18
NL49,U887,writer,1447,"Carbs: 69, Proteins: 25, Fats: 22",Breakfast,2024-01-29
NL50,U2106,though,1032,"Carbs: 47, Proteins: 46, Fats: 9",Dinner,2024-07-28
NL51,U633,fish,1026,"Carbs: 55, Proteins: 16, Fats: 29",Lunch,2024-10-15
NL52,U129,consumer,341,"Carbs: 37, Proteins: 30, Fats: 29",Lunch,2024-05-05
NL53,U147,action,649,"Carbs: 37, Proteins: 46, Fats: 24",Breakfast,2024-06-21
NL54,U291,what,1103,"Carbs: 88, Proteins: 48, Fats: 25",Breakfast,2024-01-18
NL55,U2206,could,549,"Carbs: 75, Proteins: 10, Fats: 28",Breakfast,2024-09-14
NL56,U1273,around,496,"Carbs: 57, Proteins: 21, Fats: 8",Breakfast,2024-03-03
NL57,U1985,keep,1142,"Carbs: 57, Proteins: 17, Fats: 8",Breakfast,2024-01-07
NL58,U1927,media,900,"Carbs: 76, Proteins: 26, Fats: 16",Snack,2024-09-19
NL59,U361,walk,620,"Carbs: 100, Proteins: 42, Fats: 8",Lunch,2024-05-10
NL60,U2805,us,681,"Carbs: 60, Proteins: 39, Fats: 5",Breakfast,2024-08-11
NL61,U98,again,901,"Carbs: 61, Proteins: 20, Fats: 10",Lunch,2024-05-24
NL62,U2567,model,499,"Carbs: 43, Proteins: 30, Fats: 7",Breakfast,2024-03-07
NL63,U1657,son,849,"Carbs: 49, Proteins: 40, Fats: 24",Breakfast,2024-03-29
NL64,U975,cultural,616,"Carbs: 17, Proteins: 49, Fats: 20",Snack,2024-02-10
NL65,U594,up,475,"Carbs: 63, Proteins: 16, Fats: 28",Breakfast,2024-03-30
NL66,U1708,value,1267,"Carbs: 13, Proteins: 23, Fats: 6",Breakfast,2024-01-10
NL67,U1611,investment,323,"Carbs: 59, Proteins: 38, Fats: 10",Lunch,2024-07-23
NL68,U1859,teach,1270,"Carbs: 46, Proteins: 34, Fats: 15",Lunch,2024-05-16
NL69,U2475,its,697,"Carbs: 56, Proteins: 19, Fats: 20",Snack,2024-02-07
NL70,U1294,force,1398,"Carbs: 56, Proteins: 44, Fats: 12",Breakfast,2024-01-15
NL71,U298,realize,1032,"Carbs: 83, Proteins: 13, Fats: 12",Breakfast,2024-04-24
NL72,U223,write,568,"Carbs: 70, Proteins: 45, Fats: 6",Dinner,2024-07-05
NL73,U2022,future,883,"Carbs: 63, Proteins: 35, Fats: 28",Breakfast,2024-01-07
NL74,U1794,recognize,1009,"Carbs: 64, Proteins: 45, Fats: 8",Dinner,2024-06-14
NL75,U1209,man,1052,"Carbs: 57, Proteins: 50, Fats: 27",Dinner,2024-09-27
NL76,U634,course,1482,"Carbs: 19, Proteins: 24, Fats: 29",Breakfast,2024-08-06
NL77,U492,board,246,"Carbs: 83, Proteins: 30, Fats: 13",Dinner,2024-02-25
NL78,U870,good,642,"Carbs: 16, Proteins: 48, Fats: 9",Breakfast,2024-07-13
NL79,U1179,money,355,"Carbs: 10, Proteins: 40, Fats: 20",Dinner,2024-10-11
NL80,U2853,lawyer,1169,"Carbs: 49, Proteins: 20, Fats: 19",Snack,2024-04-23
NL81,U708,reality,325,"Carbs: 11, Proteins: 35, Fats: 26",Breakfast,2024-09-16
NL82,U2991,ask,926,"Carbs: 98, Proteins: 17, Fats: 21",Lunch,2024-11-07
NL83,U52,policy,1187,"Carbs: 98, Proteins: 50, Fats: 13",Dinner,2024-09-24
NL84,U328,what,705,"Carbs: 84, Proteins: 49, Fats: 11",Lunch,2024-05-24
NL85,U871,clearly,469,"Carbs: 42, Proteins: 23, Fats: 8",Lunch,2024-11-17
NL86,U209,service,751,"Carbs: 14, Proteins: 25, Fats: 27",Lunch,2024-08-21
NL87,U531,visit,804,"Carbs: 80, Proteins: 47, Fats: 22",Lunch,2024-05-04
NL88,U2704,sound,341,"Carbs: 29, Proteins: 19, Fats: 17",Breakfast,2024-05-03
NL89,U1609,full,524,"Carbs: 56, Proteins: 45, Fats: 30",Breakfast,2024-10-14
NL90,U1687,address,466,"Carbs: 32, Proteins: 28, Fats: 11",Lunch,2024-08-08
NL91,U723,simply,330,"Carbs: 83, Proteins: 11, Fats: 17",Dinner,2024-02-16
NL92,U518,type,749,"Carbs: 13, Proteins: 47, Fats: 24",Snack,2024-06-15
NL93,U1749,right,203,"Carbs: 59, Proteins: 44, Fats: 19",Snack,2024-06-09
NL94,U1407,could,681,"Carbs: 34, Proteins: 12, Fats: 5",Dinner,2024-05-16
NL95,U1757,left,840,"Carbs: 59, Proteins: 48, Fats: 17",Breakfast,2024-10-14
NL96,U2828,catch,1297,"Carbs: 66, Proteins: 32, Fats: 19",Lunch,2024-09-29
NL97,U742,attorney,411,"Carbs: 84, Proteins: 26, Fats: 30",Dinner,2024-04-04
NL98,U2385,hit,910,"Carbs: 61, Proteins: 40, Fats: 23",Snack,2024-07-26
NL99,U359,single,662,"Carbs: 15, Proteins: 10, Fats: 26",Breakfast,2024-01-18
NL100,U2936,condition,919,"Carbs: 63, Proteins: 24, Fats: 5",Breakfast,2024-03-01
NL101,U356,manager,523,"Carbs: 89, Proteins: 35, Fats: 18",Breakfast,2024-06-23
NL102,U964,remain,753,"Carbs: 34, Proteins: 46, Fats: 17",Lunch,2024-11-11
NL103,U2398,hot,637,"Carbs: 43, Proteins: 20, Fats: 9",Lunch,2024-07-09
NL104,U190,either,957,"Carbs: 67, Proteins: 50, Fats: 23",Dinner,2024-09-23
NL105,U2531,put,1230,"Carbs: 94, Proteins: 38, Fats: 17",Breakfast,2024-07-02
NL106,U2841,have,285,"Carbs: 95, Proteins: 17, Fats: 22",Dinner,2024-03-01
NL107,U2504,quite,210,"Carbs: 90, Proteins: 25, Fats: 22",Snack,2024-06-29
NL108,U1925,center,757,"Carbs: 54, Proteins: 25, Fats: 8",Dinner,2024-09-05
NL109,U2689,wish,1413,"Carbs: 84, Proteins: 18, Fats: 8",Lunch,2024-09-27
NL110,U2100,among,858,"Carbs: 13, Proteins: 15, Fats: 5",Lunch,2024-09-01
NL111,U2235,quickly,1241,"Carbs: 52, Proteins: 39, Fats: 30",Snack,2024-01-16
NL112,U1307,fact,416,"Carbs: 98, Proteins: 36, Fats: 29",Dinner,2024-03-20
NL113,U2949,green,1469,"Carbs: 42, Proteins: 10, Fats: 22",Lunch,2024-01-23
NL114,U2571,hard,411,"Carbs: 54, Proteins: 25, Fats: 6",Dinner,2024-09-13
NL115,U2596,work,689,"Carbs: 89, Proteins: 10, Fats: 14",Snack,2024-08-05
NL116,U2589,authority,1084,"Carbs: 58, Proteins: 47, Fats: 21",Dinner,2024-04-19
NL117,U2035,security,365,"Carbs: 55, Proteins: 42, Fats: 12",Lunch,2024-09-19
NL118,U346,tend,216,"Carbs: 56, Proteins: 18, Fats: 13",Breakfast,2024-07-07
NL119,U2227,subject,986,"Carbs: 80, Proteins: 31, Fats: 30",Lunch,2024-08-12
NL120,U2636,information,615,"Carbs: 29, Proteins: 43, Fats: 29",Dinner,2024-06-23
NL121,U1577,still,466,"Carbs: 33, Proteins: 14, Fats: 5",Snack,2024-10-30
NL122,U775,media,990,"Carbs: 67, Proteins: 32, Fats: 29",Snack,2024-06-21
NL123,U1504,once,259,"Carbs: 79, Proteins: 47, Fats: 6",Snack,2024-03-26
NL124,U2926,computer,1133,"Carbs: 46, Proteins: 19, Fats: 15",Lunch,2024-06-28
NL125,U937,bill,864,"Carbs: 80, Proteins: 40, Fats: 24",Lunch,2024-10-23
NL126,U1552,actually,306,"Carbs: 44, Proteins: 24, Fats: 26",Lunch,2024-08-31
NL127,U1076,individual,1473,"Carbs: 61, Proteins: 20, Fats: 20",Snack,2024-11-04
NL128,U826,summer,1295,"Carbs: 50, Proteins: 50, Fats: 26",Breakfast,2024-04-02
NL129,U698,carry,532,"Carbs: 56, Proteins: 13, Fats: 15",Lunch,2024-07-30
NL130,U118,civil,1269,"Carbs: 78, Proteins: 24, Fats: 9",Snack,2024-04-20
NL131,U2363,year,810,"Carbs: 56, Proteins: 50, Fats: 22",Dinner,2024-03-31
NL132,U2140,important,1466,"Carbs: 44, Proteins: 30, Fats: 5",Breakfast,2024-01-27
NL133,U2042,response,1488,"Carbs: 33, Proteins: 15, Fats: 15",Dinner,2024-07-25
NL134,U494,why,1371,"Carbs: 16, Proteins: 47, Fats: 24",Lunch,2024-11-26
NL135,U2642,until,1049,"Carbs: 41, Proteins: 44, Fats: 17",Snack,2024-01-14
NL136,U287,hair,732,"Carbs: 91, Proteins: 41, Fats: 28",Breakfast,2024-02-13
NL137,U417,radio,417,"Carbs: 61, Proteins: 45, Fats: 8",Dinner,2024-03-28
NL138,U1388,politics,1035,"Carbs: 17, Proteins: 44, Fats: 13",Breakfast,2024-06-04
NL139,U2493,price,1102,"Carbs: 56, Proteins: 21, Fats: 30",Dinner,2024-06-11
NL140,U561,us,928,"Carbs: 88, Proteins: 48, Fats: 14",Breakfast,2024-03-05
NL141,U137,either,1359,"Carbs: 63, Proteins: 25, Fats: 15",Lunch,2024-03-12
NL142,U829,wall,1177,"Carbs: 48, Proteins: 25, Fats: 27",Snack,2024-04-12
NL143,U214,month,1216,"Carbs: 89, Proteins: 24, Fats: 21",Dinner,2024-03-14
NL144,U1375,street,424,"Carbs: 58, Proteins: 33, Fats: 22",Snack,2024-07-11
NL145,U749,season,244,"Carbs: 69, Proteins: 41, Fats: 23",Breakfast,2024-09-13
NL146,U1863,same,273,"Carbs: 26, Proteins: 48, Fats: 19",Breakfast,2024-02-27
NL147,U689,while,430,"Carbs: 52, Proteins: 30, Fats: 16",Breakfast,2024-09-26
NL148,U1112,cut,1224,"Carbs: 48, Proteins: 13, Fats: 24",Dinner,2024-04-18
NL149,U1672,our,945,"Carbs: 35, Proteins: 43, Fats: 20",Breakfast,2024-04-02
NL150,U1445,pass,260,"Carbs: 84, Proteins: 38, Fats: 7",Dinner,2024-06-13
NL151,U2985,free,812,"Carbs: 81, Proteins: 40, Fats: 8",Snack,2024-01-27
NL152,U2066,such,581,"Carbs: 50, Proteins: 13, Fats: 8",Snack,2024-03-11
NL153,U2812,contain,812,"Carbs: 91, Proteins: 40, Fats: 21",Lunch,2024-05-27
NL154,U2774,wife,1056,"Carbs: 96, Proteins: 30, Fats: 29",Breakfast,2024-05-31
NL155,U2216,less,901,"Carbs: 34, Proteins: 30, Fats: 6",Dinner,2024-09-12
NL156,U2101,care,721,"Carbs: 55, Proteins: 50, Fats: 14",Breakfast,2024-03-06
NL157,U1722,reflect,529,"Carbs: 28, Proteins: 14, Fats: 22",Snack,2024-11-04
NL158,U2678,attention,1437,"Carbs: 20, Proteins: 20, Fats: 22",Snack,2024-06-21
NL159,U2162,appear,1336,"Carbs: 44, Proteins: 43, Fats: 7",Lunch,2024-06-09
NL160,U1317,born,968,"Carbs: 66, Proteins: 10, Fats: 18",Breakfast,2024-05-08
NL161,U2785,thousand,1260,"Carbs: 87, Proteins: 34, Fats: 22",Breakfast,2024-09-01
NL162,U39,foreign,1297,"Carbs: 100, Proteins: 42, Fats: 18",Snack,2024-11-22
NL163,U2134,PM,279,"Carbs: 91, Proteins: 36, Fats: 22",Lunch,2024-08-22
NL164,U464,star,363,"Carbs: 17, Proteins: 27, Fats: 6",Breakfast,2024-05-26
NL165,U920,paper,548,"Carbs: 16, Proteins: 11, Fats: 30",Snack,2024-04-26
NL166,U203,in,735,"Carbs: 88, Proteins: 26, Fats: 17",Lunch,2024-06-18
NL167,U456,rock,649,"Carbs: 81, Proteins: 30, Fats: 20",Snack,2024-11-20
NL168,U2111,artist,833,"Carbs: 62, Proteins: 23, Fats: 7",Breakfast,2024-08-16
NL169,U1733,beautiful,413,"Carbs: 20, Proteins: 14, Fats: 28",Snack,2024-02-14
NL170,U131,figure,249,"Carbs: 96, Proteins: 36, Fats: 18",Dinner,2024-05-08
NL171,U2389,argue,1181,"Carbs: 16, Proteins: 44, Fats: 21",Snack,2024-10-31
NL172,U1832,Mrs,326,"Carbs: 26, Proteins: 40, Fats: 6",Snack,2024-10-30
NL173,U2254,you,1454,"Carbs: 46, Proteins: 46, Fats: 25",Breakfast,2024-02-14
NL174,U1164,audience,1194,"Carbs: 23, Proteins: 47, Fats: 10",Snack,2024-01-15
NL175,U1195,amount,668,"Carbs: 36, Proteins: 17, Fats: 5",Snack,2024-05-22
NL176,U539,gas,711,"Carbs: 16, Proteins: 26, Fats: 18",Lunch,2024-08-11
NL177,U2554,book,719,"Carbs: 52, Proteins: 20, Fats: 27",Breakfast,2024-08-26
NL178,U428,model,585,"Carbs: 73, Proteins: 18, Fats: 19",Snack,2024-08-16
NL179,U1099,adult,892,"Carbs: 20, Proteins: 28, Fats: 9",Snack,2024-09-21
NL180,U1286,success,1339,"Carbs: 93, Proteins: 38, Fats: 21",Dinner,2024-01-07
NL181,U2792,item,650,"Carbs: 52, Proteins: 16, Fats: 11",Lunch,2024-09-27
NL182,U705,safe,641,"Carbs: 75, Proteins: 49, Fats: 9",Lunch,2024-03-17
NL183,U113,thousand,1095,"Carbs: 12, Proteins: 22, Fats: 16",Lunch,2024-03-09
NL184,U1918,of,337,"Carbs: 75, Proteins: 32, Fats: 12",Snack,2024-01-09
NL185,U354,seek,634,"Carbs: 51, Proteins: 24, Fats: 18",Lunch,2024-11-19
NL186,U253,green,510,"Carbs: 75, Proteins: 14, Fats: 17",Lunch,2024-07-13
NL187,U868,themselves,1035,"Carbs: 99, Proteins: 44, Fats: 21",Breakfast,2024-07-26
NL188,U466,enjoy,531,"Carbs: 28, Proteins: 38, Fats: 21",Snack,2024-02-07
NL189,U1018,western,1461,"Carbs: 77, Proteins: 48, Fats: 23",Breakfast,2024-02-02
NL190,U2451,shake,625,"Carbs: 42, Proteins: 43, Fats: 27",Snack,2024-10-20
NL191,U2108,there,682,"Carbs: 60, Proteins: 18, Fats: 22",Lunch,2024-03-07
NL192,U1203,building,1130,"Carbs: 37, Proteins: 17, Fats: 7",Dinner,2024-09-01
NL193,U943,impact,801,"Carbs: 88, Proteins: 24, Fats: 7",Lunch,2024-08-02
NL194,U2035,manager,915,"Carbs: 98, Proteins: 15, Fats: 16",Lunch,2024-08-11
NL195,U111,real,1292,"Carbs: 38, Proteins: 22, Fats: 7",Dinner,2024-08-30
NL196,U2833,Mr,349,"Carbs: 18, Proteins: 25, Fats: 28",Snack,2024-04-29
NL197,U1253,key,1100,"Carbs: 93, Proteins: 13, Fats: 29",Lunch,2024-04-09
NL198,U1463,nothing,254,"Carbs: 81, Proteins: 14, Fats: 21",Breakfast,2024-06-19
NL199,U2723,player,200,"Carbs: 97, Proteins: 37, Fats: 22",Dinner,2024-09-09
NL200,U619,best,1300,"Carbs: 26, Proteins: 39, Fats: 18",Snack,2024-09-20
NL201,U1580,ball,1421,"Carbs: 39, Proteins: 35, Fats: 7",Dinner,2024-10-24
NL202,U460,sea,1271,"Carbs: 93, Proteins: 45, Fats: 18",Dinner,2024-11-23
NL203,U2202,market,851,"Carbs: 57, Proteins: 33, Fats: 5",Breakfast,2024-01-14
NL204,U2669,green,1243,"Carbs: 36, Proteins: 37, Fats: 18",Dinner,2024-02-19
NL205,U1509,simple,956,"Carbs: 70, Proteins: 19, Fats: 17",Dinner,2024-07-04
NL206,U456,item,695,"Carbs: 99, Proteins: 47, Fats: 17",Lunch,2024-04-14
NL207,U16,provide,1252,"Carbs: 46, Proteins: 10, Fats: 15",Lunch,2024-04-05
NL208,U2956,news,970,"Carbs: 57, Proteins: 15, Fats: 14",Snack,2024-10-18
NL209,U88,interview,872,"Carbs: 85, Proteins: 11, Fats: 8",Breakfast,2024-07-11
NL210,U1228,same,383,"Carbs: 90, Proteins: 31, Fats: 20",Snack,2024-07-08
NL211,U2612,among,305,"Carbs: 46, Proteins: 16, Fats: 27",Lunch,2024-05-07
NL212,U962,lawyer,1221,"Carbs: 99, Proteins: 10, Fats: 5",Dinner,2024-07-14
NL213,U1735,lawyer,1137,"Carbs: 79, Proteins: 38, Fats: 24",Dinner,2024-08-10
NL214,U1646,house,1367,"Carbs: 88, Proteins: 47, Fats: 11",Breakfast,2024-11-08
NL215,U356,some,320,"Carbs: 50, Proteins: 39, Fats: 20",Lunch,2024-08-01
NL216,U28,simply,797,"Carbs: 57, Proteins: 21, Fats: 24",Snack,2024-04-30
NL217,U67,create,1125,"Carbs: 28, Proteins: 12, Fats: 13",Lunch,2024-11-04
NL218,U2052,almost,369,"Carbs: 96, Proteins: 42, Fats: 13",Lunch,2024-01-01
NL219,U2343,teacher,710,"Carbs: 77, Proteins: 31, Fats: 25",Snack,2024-04-21
NL220,U649,budget,227,"Carbs: 17, Proteins: 33, Fats: 9",Lunch,2024-01-03
NL221,U1721,pressure,515,"Carbs: 18, Proteins: 19, Fats: 30",Breakfast,2024-01-11
NL222,U2623,fly,540,"Carbs: 82, Proteins: 44, Fats: 22",Lunch,2024-11-07
NL223,U2851,government,1011,"Carbs: 92, Proteins: 37, Fats: 8",Snack,2024-06-27
NL224,U1780,start,768,"Carbs: 58, Proteins: 22, Fats: 14",Dinner,2024-06-10
NL225,U2094,its,772,"Carbs: 73, Proteins: 27, Fats: 29",Breakfast,2024-06-16
NL226,U1552,strategy,291,"Carbs: 62, Proteins: 21, Fats: 21",Dinner,2024-08-03
NL227,U1219,understand,1403,"Carbs: 87, Proteins: 10, Fats: 5",Lunch,2024-06-29
NL228,U1068,must,1306,"Carbs: 21, Proteins: 50, Fats: 15",Snack,2024-09-05
NL229,U2961,front,1340,"Carbs: 27, Proteins: 24, Fats: 22",Dinner,2024-02-08
NL230,U2748,party,306,"Carbs: 26, Proteins: 24, Fats: 16",Snack,2024-06-30
NL231,U345,probably,1097,"Carbs: 75, Proteins: 15, Fats: 6",Breakfast,2024-09-17
NL232,U457,put,723,"Carbs: 66, Proteins: 48, Fats: 7",Breakfast,2024-05-20
NL233,U262,allow,1322,"Carbs: 81, Proteins: 25, Fats: 21",Lunch,2024-04-23
NL234,U1314,leader,643,"Carbs: 83, Proteins: 23, Fats: 5",Lunch,2024-04-17
NL235,U1273,little,1123,"Carbs: 90, Proteins: 17, Fats: 13",Breakfast,2024-07-23
NL236,U2514,about,699,"Carbs: 74, Proteins: 21, Fats: 29",Dinner,2024-07-22
NL237,U2796,whole,940,"Carbs: 32, Proteins: 17, Fats: 6",Breakfast,2024-08-23
NL238,U1587,respond,874,"Carbs: 19, Proteins: 21, Fats: 16",Snack,2024-08-12
NL239,U144,stand,360,"Carbs: 15, Proteins: 20, Fats: 17",Lunch,2024-01-10
NL240,U1665,management,200,"Carbs: 57, Proteins: 18, Fats: 15",Lunch,2024-10-29
NL241,U9,become,569,"Carbs: 68, Proteins: 31, Fats: 14",Lunch,2024-08-26
NL242,U125,here,511,"Carbs: 77, Proteins: 49, Fats: 5",Dinner,2024-11-26
NL243,U2183,room,356,"Carbs: 37, Proteins: 27, Fats: 15",Dinner,2024-03-24
NL244,U64,day,450,"Carbs: 49, Proteins: 39, Fats: 7",Dinner,2024-04-19
NL245,U1279,occur,510,"Carbs: 15, Proteins: 23, Fats: 5",Dinner,2024-04-30
NL246,U312,before,836,"Carbs: 38, Proteins: 50, Fats: 6",Dinner,2024-10-19
NL247,U839,happy,1296,"Carbs: 16, Proteins: 32, Fats: 21",Lunch,2024-02-10
NL248,U2284,lead,633,"Carbs: 98, Proteins: 45, Fats: 10",Lunch,2024-02-01
NL249,U178,day,1000,"Carbs: 15, Proteins: 26, Fats: 26",Breakfast,2024-04-04
NL250,U2488,reach,477,"Carbs: 30, Proteins: 44, Fats: 6",Snack,2024-09-19
NL251,U1414,our,961,"Carbs: 54, Proteins: 16, Fats: 23",Lunch,2024-07-17
NL252,U2737,partner,1139,"Carbs: 14, Proteins: 32, Fats: 22",Dinner,2024-09-21
NL253,U1457,economic,1145,"Carbs: 70, Proteins: 40, Fats: 13",Dinner,2024-04-19
NL254,U1830,citizen,1143,"Carbs: 80, Proteins: 13, Fats: 10",Dinner,2024-01-16
NL255,U694,clear,223,"Carbs: 69, Proteins: 41, Fats: 28",Snack,2024-01-15
NL256,U1766,house,1452,"Carbs: 19, Proteins: 10, Fats: 29",Dinner,2024-10-10
NL257,U1834,memory,433,"Carbs: 99, Proteins: 15, Fats: 11",Dinner,2024-01-03
NL258,U1482,moment,1214,"Carbs: 58, Proteins: 33, Fats: 16",Dinner,2024-02-21
NL259,U717,house,959,"Carbs: 83, Proteins: 45, Fats: 21",Lunch,2024-07-14
NL260,U2465,since,473,"Carbs: 100, Proteins: 42, Fats: 30",Lunch,2024-08-06
NL261,U1286,radio,517,"Carbs: 87, Proteins: 50, Fats: 16",Dinner,2024-09-10
NL262,U2037,expert,910,"Carbs: 34, Proteins: 18, Fats: 9",Breakfast,2024-05-25
NL263,U1422,Democrat,727,"Carbs: 97, Proteins: 49, Fats: 11",Dinner,2024-10-02
NL264,U2077,car,578,"Carbs: 84, Proteins: 32, Fats: 6",Snack,2024-06-26
NL265,U2261,mission,1407,"Carbs: 79, Proteins: 30, Fats: 6",Breakfast,2024-10-13
NL266,U2170,its,338,"Carbs: 90, Proteins: 30, Fats: 12",Lunch,2024-05-02
NL267,U1806,represent,1095,"Carbs: 84, Proteins: 48, Fats: 22",Lunch,2024-02-23
NL268,U676,simple,432,"Carbs: 38, Proteins: 25, Fats: 6",Dinner,2024-08-19
NL269,U2635,education,398,"Carbs: 88, Proteins: 25, Fats: 25",Dinner,2024-11-07
NL270,U662,wide,1218,"Carbs: 69, Proteins: 29, Fats: 22",Breakfast,2024-09-04
NL271,U1612,him,1032,"Carbs: 37, Proteins: 44, Fats: 12",Lunch,2024-04-20
NL272,U2736,few,862,"Carbs: 67, Proteins: 15, Fats: 25",Dinner,2024-08-20
NL273,U338,affect,333,"Carbs: 54, Proteins: 45, Fats: 28",Lunch,2024-08-15
NL274,U984,law,1409,"Carbs: 14, Proteins: 18, Fats: 14",Breakfast,2024-02-24
NL275,U2545,feel,481,"Carbs: 27, Proteins: 43, Fats: 13",Lunch,2024-08-11
NL276,U1987,on,683,"Carbs: 44, Proteins: 24, Fats: 14",Dinner,2024-11-05
NL277,U1805,education,704,"Carbs: 74, Proteins: 15, Fats: 24",Lunch,2024-03-17
NL278,U1848,despite,384,"Carbs: 86, Proteins: 17, Fats: 20",Dinner,2024-02-17
NL279,U1646,red,462,"Carbs: 80, Proteins: 49, Fats: 12",Dinner,2024-03-05
NL280,U2951,can,1286,"Carbs: 87, Proteins: 31, Fats: 11",Dinner,2024-10-15
NL281,U1307,medical,611,"Carbs: 74, Proteins: 50, Fats: 13",Dinner,2024-07-24
NL282,U1722,when,561,"Carbs: 94, Proteins: 20, Fats: 16",Snack,2024-04-04
NL283,U2289,south,358,"Carbs: 77, Proteins: 49, Fats: 7",Dinner,2024-11-21
NL284,U950,hope,929,"Carbs: 67, Proteins: 16, Fats: 19",Dinner,2024-08-21
NL285,U1048,travel,457,"Carbs: 68, Proteins: 50, Fats: 25",Breakfast,2024-07-31
NL286,U556,his,273,"Carbs: 45, Proteins: 39, Fats: 9",Breakfast,2024-06-28
